epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,412.551,0.90494,0.71135,0.87907,0.72481,0.8703,0.87402,0.65464,0.88825,0.625,0.85937,0.000162391,0.000162391,0.000162391
122,415.938,0.9048,0.71762,0.87978,0.75108,0.87985,0.87329,0.64223,0.88428,0.61774,0.86114,0.000161969,0.000161969,0.000161969
123,419.282,0.92659,0.70434,0.88679,0.71484,0.89138,0.89518,0.66601,0.8973,0.62597,0.86297,0.000161548,0.000161548,0.000161548
124,422.487,0.89381,0.69849,0.87879,0.74558,0.90445,0.90601,0.67253,0.89959,0.62007,0.85926,0.000161126,0.000161126,0.000161126
125,425.809,0.91157,0.69589,0.87943,0.94742,0.74161,0.8903,0.66353,0.88884,0.62924,0.85726,0.000160704,0.000160704,0.000160704
126,429.147,0.88463,0.67716,0.87321,0.6872,0.90304,0.86995,0.65285,0.88207,0.63529,0.85781,0.000160282,0.000160282,0.000160282
127,432.428,0.90552,0.69591,0.87152,0.90027,0.77969,0.86039,0.64374,0.90402,0.64317,0.86062,0.000159861,0.000159861,0.000159861
128,435.692,0.89029,0.71684,0.87794,0.90986,0.77305,0.86354,0.64747,0.8953,0.64033,0.85948,0.000159439,0.000159439,0.000159439
129,438.948,0.90614,0.68347,0.878,0.74821,0.8758,0.88445,0.66723,0.87185,0.62573,0.85523,0.000159017,0.000159017,0.000159017
130,442.24,0.89156,0.69109,0.87521,0.86521,0.83087,0.90411,0.67354,0.9008,0.62783,0.85614,0.000158596,0.000158596,0.000158596
131,445.558,0.9022,0.69685,0.87704,0.76603,0.87138,0.90789,0.6807,0.8761,0.60487,0.85193,0.000158174,0.000158174,0.000158174
132,448.847,0.92292,0.69841,0.86653,0.76462,0.90815,0.91625,0.68508,0.89579,0.61065,0.85522,0.000157752,0.000157752,0.000157752
133,452.143,0.928,0.69783,0.88342,0.74351,0.94352,0.9172,0.68073,0.91859,0.63013,0.85842,0.00015733,0.00015733,0.00015733
134,455.409,0.88802,0.68449,0.87193,0.7553,0.94597,0.91162,0.67973,0.89286,0.6383,0.8572,0.000156909,0.000156909,0.000156909
135,458.644,0.89323,0.66101,0.86983,0.7598,0.90634,0.90865,0.6798,0.88959,0.65016,0.85416,0.000156487,0.000156487,0.000156487
136,461.969,0.90439,0.71006,0.87007,0.73788,0.91252,0.88091,0.66277,0.88149,0.6329,0.85219,0.000156065,0.000156065,0.000156065
137,465.307,0.90217,0.67826,0.87416,0.75664,0.91442,0.87618,0.66392,0.87268,0.61317,0.85422,0.000155643,0.000155643,0.000155643
138,468.566,0.87309,0.67546,0.8774,0.77149,0.914,0.88462,0.66093,0.88169,0.6072,0.8542,0.000155222,0.000155222,0.000155222
139,471.875,0.91724,0.68624,0.87757,0.73303,0.91827,0.90289,0.68323,0.87339,0.60892,0.85232,0.0001548,0.0001548,0.0001548
140,475.221,0.88817,0.67162,0.87708,0.73251,0.89236,0.89209,0.66061,0.90124,0.6172,0.85371,0.000154378,0.000154378,0.000154378
141,478.679,0.92185,0.70494,0.8763,0.95795,0.74434,0.88777,0.65814,0.8639,0.60732,0.84966,0.000153956,0.000153956,0.000153956
